Managing Agency ID,Managing Agency Name,Managing Sub-agency or Bureau Name,Implementing Partner Category Name,Implementing Partner Sub-category ID,Implementing Partner Name,International Category Name,International Sector Name,International Purpose Name,US Category Name,US Sector Name,Funding Account Name,Funding Agency Name,Funding Agency Acronym,Activity ID,Activity Name,Activity Description,Activity Project Number,Fiscal Year,Current Dollar Amount,Constant Dollar Amount
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,"Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,169925,"USAID Communications, Utilities, and Rental Payments","Administrative costs and operating expenses of USAID contributing to Communications, Utilities, and Rental Payments.",,2021,11925,11925
1,U.S. Agency for International Development,Bureau for Africa,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,"Agency for International Development, Operating Expenses",U.S. Agency for International Development,USAID,170838,USAID Travel and Transportation,Administrative costs and operating expenses of USAID contributing to Travel and Transportation.,,2021,11373,11373
1,U.S. Agency for International Development,Bureau for Africa,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,"Department of State, Global Health Programs",Department of State,STATE,170666,USAID Pay and Benefits,Administrative costs and operating expenses of USAID contributing to Payrolls and Benefits.,,2021,10600,10600
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - United States,CARE International,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Economic Development,Private Sector Competitiveness,Public Law 480 Title II Grants,Department of Agriculture,AGR,212315,Hamzari,"With its Development Food Security Activity targeting 120,000 people, the USAID Implementing Partner aims to build sustainable, equitable, and resilient food and nutrition security for vulnerable groups in Nigers Maradi Region. The Implementing Partner works to address four main drivers of hunger in Maradi: high vulnerability to shocks and extreme poverty; limited accessibility, availability, and utilization of nutritious foods; poor water, sanitation, and hygiene behaviors and inadequate access to water; and lack of livelihoods diversity.",72DFFP18CA00004,2021,10430,10430
1,U.S. Agency for International Development,Bureau for Africa,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,"Agency for International Development, Operating Expenses",U.S. Agency for International Development,USAID,169508,USAID Advisory and Assistance Services,Administrative costs and operating expenses of USAID contributing to Advisory and Assistance Services.,,2021,10220,10220
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,Government,Government - United States,U.S. Government - U.S. Agency for International Development,Humanitarian,Emergency Response,Relief co-ordination; protection and support services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,170725,USAID Travel and Transportation,Administrative costs and operating expenses of USAID contributing to Travel and Transportation.,,2021,10177,10177
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,"Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,170342,"USAID Miscellaneous Goods, Services, and Operations Maintanence","Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence.",,2021,10010,10010
2,Department of State,African Affairs,NGO,NGO - Non United States,NGO - Non United States Other,Governance,Government and Civil Society,Public sector policy and administrative management,"Democracy, Human Rights, and Governance","Democracy, Human Rights, and Governance - General",Economic Support Fund,U.S. Agency for International Development,USAID,227697,Bureau of African Affairs - Niger FY2021 Ambassador s Special Self Help Fund,"U.S. Department of State: Bureau of African Affairs. Niger FY2021 Ambassador s Special Self Help Fund[Covers grants (including revenue- sharing), subsidies, gratuities, and other aid for which cash payments are made to states, other political subdivisions, corporations, associations, and individuals; contributions to international societies, commissions, proceedings, or projects, whether in lump sum or as quotas of expenses; contributions fixed by treaty; grants to foreign countries; taxes imposed by taxing authorities where the Federal Government has consented to taxation (excluding the employers share of Federal Insurance Contribution Act taxes); and payments in lieu of taxes. Includes readjustment and other benefits for veterans, other than indemnities for death or disability.]",SNG60021GR3035,2021,10000,10000
1,U.S. Agency for International Development,Bureau for Africa,Enterprises,Enterprises - United States,ICF International,Other,General Environmental Protection,Environmental research,Program Support,Direct Administrative Costs,"Agency for International Development, Development Assistance",U.S. Agency for International Development,USAID,179418,Environmental Compliance Support Contract (ECOS),"USAID's Global Environmental Compliance Support Contract (ECOS) is a global activity managed by USAID's Bureau for Economic, Education, and Environment (E3). It provides on-demand environmental compliance, management, and design support to USAID's Environmental Officers, individual agency operating units, and their projects and programs.",7200AA18N00001,2021,10000,10000
2,Department of State,Diplomatic Security,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other,Governance,Government and Civil Society,Countering violent extremism,Peace and Security,Counter-Terrorism,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Department of State,STATE,276646,Bureau of Diplomatic Security - SURCHARGE: PR10162465,"U.S. Department of State: Bureau of Diplomatic Security. SURCHARGE: PR10162465[Covers the costs for receiving, inspecting, stocking, pulling from stock, delivery, and other related services such as the 1 percent acquisition surcharge for executing grants and contracts above post warrant levels.]",105221H1443,2021,9577,9577
2,Department of State,Diplomatic Security,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other,Governance,Government and Civil Society,Countering violent extremism,Peace and Security,Counter-Terrorism,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Department of State,STATE,276330,Bureau of Diplomatic Security - SURCHARGE: PR10075727,"U.S. Department of State: Bureau of Diplomatic Security. SURCHARGE: PR10075727[Covers the costs for receiving, inspecting, stocking, pulling from stock, delivery, and other related services such as the 1 percent acquisition surcharge for executing grants and contracts above post warrant levels.]",105221H1343,2021,9466,9466
1,U.S. Agency for International Development,Bureau for Africa,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,"Agency for International Development, Operating Expenses",U.S. Agency for International Development,USAID,170770,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,,2021,9182,9182
2,Department of State,African Affairs,NGO,NGO - Non United States,NGO - Non United States Other,Governance,Government and Civil Society,Public sector policy and administrative management,"Democracy, Human Rights, and Governance","Democracy, Human Rights, and Governance - General",Economic Support Fund,U.S. Agency for International Development,USAID,227705,Bureau of African Affairs - Niger FY2021 Ambassador s Special Self Help Progr,"U.S. Department of State: Bureau of African Affairs. Niger FY2021 Ambassador s Special Self Help Program[Covers grants (including revenue- sharing), subsidies, gratuities, and other aid for which cash payments are made to states, other political subdivisions, corporations, associations, and individuals; contributions to international societies, commissions, proceedings, or projects, whether in lump sum or as quotas of expenses; contributions fixed by treaty; grants to foreign countries; taxes imposed by taxing authorities where the Federal Government has consented to taxation (excluding the employers share of Federal Insurance Contribution Act taxes); and payments in lieu of taxes. Includes readjustment and other benefits for veterans, other than indemnities for death or disability.]",SNG60021GR3032,2021,8685,8685
2,Department of State,African Affairs,NGO,NGO - Non United States,NGO - Non United States Other,Governance,Government and Civil Society,Public sector policy and administrative management,"Democracy, Human Rights, and Governance","Democracy, Human Rights, and Governance - General",Economic Support Fund,U.S. Agency for International Development,USAID,227703,Bureau of African Affairs - Niger FY2021 Ambassador s Special Self Help Fund,"U.S. Department of State: Bureau of African Affairs. Niger FY2021 Ambassador s Special Self Help Fund[Covers grants (including revenue- sharing), subsidies, gratuities, and other aid for which cash payments are made to states, other political subdivisions, corporations, associations, and individuals; contributions to international societies, commissions, proceedings, or projects, whether in lump sum or as quotas of expenses; contributions fixed by treaty; grants to foreign countries; taxes imposed by taxing authorities where the Federal Government has consented to taxation (excluding the employers share of Federal Insurance Contribution Act taxes); and payments in lieu of taxes. Includes readjustment and other benefits for veterans, other than indemnities for death or disability.]",SNG60021GR3043,2021,8000,8000
2,Department of State,African Affairs,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other,Governance,Government and Civil Society,Public sector policy and administrative management,"Democracy, Human Rights, and Governance","Democracy, Human Rights, and Governance - General",Economic Support Fund,U.S. Agency for International Development,USAID,227695,Bureau of African Affairs - Niger FY2021 Ambassador s Special Self Help Fund,"U.S. Department of State: Bureau of African Affairs. Niger FY2021 Ambassador s Special Self Help Fund[Covers grants (including revenue- sharing), subsidies, gratuities, and other aid for which cash payments are made to states, other political subdivisions, corporations, associations, and individuals; contributions to international societies, commissions, proceedings, or projects, whether in lump sum or as quotas of expenses; contributions fixed by treaty; grants to foreign countries; taxes imposed by taxing authorities where the Federal Government has consented to taxation (excluding the employers share of Federal Insurance Contribution Act taxes); and payments in lieu of taxes. Includes readjustment and other benefits for veterans, other than indemnities for death or disability.]",SNG60021GR3033,2021,8000,8000
3,Millennium Challenge Corporation,not applicable,Government,Government - United States,U.S. Government - Millennium Challenge Corporation,Other,Unallocated/ Unspecified,Sectors not specified,Program Support,Direct Administrative Costs,"Millennium Challenge Corporation, Expenses",Millennium Challenge Corporation,MCC,61029,MCC Program Development,"Due diligence funding is used to obtain sufficient information to evaluate, assess and appraise projects during compact development, effectively oversee and monitor compact implementation, conduct quality assurance, and then evaluate the results of a compact project once complete.",NER-2750BXDILD-PGM DEVEL-NA,2021,7931,7931
2,Department of State,Diplomatic Security,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other,Governance,Government and Civil Society,Countering violent extremism,Peace and Security,Counter-Terrorism,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Department of State,STATE,270045,Bureau of Diplomatic Security - RSO Fuel for CT Training,"U.S. Department of State: Bureau of Diplomatic Security. RSO Fuel for CT Training[Covers costs of automotive fuels and lubricants, including diesel oil, crankcase oil, gasoline, greases, etc.]",PR10279465,2021,7539,7539
2,Department of State,Diplomatic Security,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other,Governance,Government and Civil Society,Countering violent extremism,Peace and Security,Counter-Terrorism,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Department of State,STATE,270044,Bureau of Diplomatic Security - RSO Fuel for CT Training,"U.S. Department of State: Bureau of Diplomatic Security. RSO Fuel for CT Training[Covers costs of automotive fuels and lubricants, including diesel oil, crankcase oil, gasoline, greases, etc.]",PR10273873,2021,7402,7402
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,Government,Government - United States,U.S. Government - U.S. Agency for International Development,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,"Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,170729,USAID Travel and Transportation,Administrative costs and operating expenses of USAID contributing to Travel and Transportation.,,2021,7295,7295
2,Department of State,African Affairs,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other,Governance,Government and Civil Society,Decentralisation and support to subnational government,"Democracy, Human Rights, and Governance",Good Governance,Economic Support Fund,U.S. Agency for International Development,USAID,227699,Bureau of African Affairs - Niger FY2021 Ambassador s Special Self Help Fund,"U.S. Department of State: Bureau of African Affairs. Niger FY2021 Ambassador s Special Self Help Fund[Covers grants (including revenue- sharing), subsidies, gratuities, and other aid for which cash payments are made to states, other political subdivisions, corporations, associations, and individuals; contributions to international societies, commissions, proceedings, or projects, whether in lump sum or as quotas of expenses; contributions fixed by treaty; grants to foreign countries; taxes imposed by taxing authorities where the Federal Government has consented to taxation (excluding the employers share of Federal Insurance Contribution Act taxes); and payments in lieu of taxes. Includes readjustment and other benefits for veterans, other than indemnities for death or disability.]",SNG60021GR3041,2021,7000,7000
2,Department of State,African Affairs,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other,Governance,Government and Civil Society,Public sector policy and administrative management,"Democracy, Human Rights, and Governance","Democracy, Human Rights, and Governance - General",Economic Support Fund,U.S. Agency for International Development,USAID,227693,Bureau of African Affairs - Niger FY2021 Ambassador s Self Help Fund,"U.S. Department of State: Bureau of African Affairs. Niger FY2021 Ambassador s Self Help Fund[Covers grants (including revenue- sharing), subsidies, gratuities, and other aid for which cash payments are made to states, other political subdivisions, corporations, associations, and individuals; contributions to international societies, commissions, proceedings, or projects, whether in lump sum or as quotas of expenses; contributions fixed by treaty; grants to foreign countries; taxes imposed by taxing authorities where the Federal Government has consented to taxation (excluding the employers share of Federal Insurance Contribution Act taxes); and payments in lieu of taxes. Includes readjustment and other benefits for veterans, other than indemnities for death or disability.]",SNG60021GR3034,2021,7000,7000
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - United States,CARE International,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,"Democracy, Human Rights, and Governance",Civil Society,Public Law 480 Title II Grants,Department of Agriculture,AGR,212315,Hamzari,"With its Development Food Security Activity targeting 120,000 people, the USAID Implementing Partner aims to build sustainable, equitable, and resilient food and nutrition security for vulnerable groups in Nigers Maradi Region. The Implementing Partner works to address four main drivers of hunger in Maradi: high vulnerability to shocks and extreme poverty; limited accessibility, availability, and utilization of nutritious foods; poor water, sanitation, and hygiene behaviors and inadequate access to water; and lack of livelihoods diversity.",72DFFP18CA00004,2021,6947,6947
2,Department of State,African Affairs,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other,Governance,Government and Civil Society,Public sector policy and administrative management,"Democracy, Human Rights, and Governance","Democracy, Human Rights, and Governance - General",Economic Support Fund,U.S. Agency for International Development,USAID,227701,Bureau of African Affairs - Niger FY2021 Ambassador s Special Self Help Fund,"U.S. Department of State: Bureau of African Affairs. Niger FY2021 Ambassador s Special Self Help Fund[Covers grants (including revenue- sharing), subsidies, gratuities, and other aid for which cash payments are made to states, other political subdivisions, corporations, associations, and individuals; contributions to international societies, commissions, proceedings, or projects, whether in lump sum or as quotas of expenses; contributions fixed by treaty; grants to foreign countries; taxes imposed by taxing authorities where the Federal Government has consented to taxation (excluding the employers share of Federal Insurance Contribution Act taxes); and payments in lieu of taxes. Includes readjustment and other benefits for veterans, other than indemnities for death or disability.]",SNG60021GR3042,2021,6315,6315
1,U.S. Agency for International Development,Bureau for Africa,Enterprises,Enterprises - United States,Enterprise - United States Redacted,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,"Agency for International Development, Operating Expenses",U.S. Agency for International Development,USAID,170041,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,,2021,6199,6199
2,Department of State,International Narcotics and Law Enforcement Affairs,Enterprises,Enterprises - United States,Enterprise - United States Other,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,International Narcotics Control and Law Enforcement,Department of State,STATE,367023,Bureau of International Narcotics and Law Enforcement Affairs: Information Redacted,"U.S. Department of State; Bureau of International Narcotics and Law Enforcement Affairs: Information Redacted. Information has been redacted in accordance with the two principled exceptions defined in the Foreign Aid Transparency and Accountability Act (FATAA) of 2016: the health and security of implementing partners, and the national interest of the United States.",599201002,2021,5893,5893
1,U.S. Agency for International Development,Bureau for Conflict Prevention and Stabilization,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,"Agency for International Development, International Assistance Program, Transition Initiatives",U.S. Agency for International Development,USAID,169925,"USAID Communications, Utilities, and Rental Payments","Administrative costs and operating expenses of USAID contributing to Communications, Utilities, and Rental Payments.",,2021,5600,5600
1,U.S. Agency for International Development,Bureau for Africa,Enterprises,Enterprises - Non United States,Unspecified Vendors - Senegal,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,"Agency for International Development, Operating Expenses",U.S. Agency for International Development,USAID,170089,"USAID Equipment, Lands, and Structures","Administrative costs and operating expenses of USAID contributing to Equipment, Lands, and Structures.",,2021,5178,5178
2,Department of State,International Narcotics and Law Enforcement Affairs,Enterprises,Enterprises - United States,Enterprise - United States Other,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,International Narcotics Control and Law Enforcement,Department of State,STATE,349158,Bureau of International Narcotics and Law Enforcement Affairs - Recurring Obligation for Electricity,"U.S. Department of State: Bureau of International Narcotics and Law Enforcement Affairs. Recurring obligation for electricity[Covers costs of purchased utilities, i.e., purchase of water, gas, electricity (light and power), sewage, garbage and trash disposal, and metered hot water heating.]",559201005,2021,5000,5000
2,Department of State,Diplomatic Security,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other,Governance,Government and Civil Society,Countering violent extremism,Peace and Security,Counter-Terrorism,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Department of State,STATE,264272,Bureau of Diplomatic Security - NE20IDC01CTPF NIGER IDC Kit Supplies Order,"U.S. Department of State; Bureau of Diplomatic Security: Information Redacted. Information has been redacted in accordance with the two principled exceptions defined in the Foreign Aid Transparency and Accountability Act (FATAA) of 2016: the health and security of implementing partners, and the national interest of the United States.",105221H1549,2021,4748,4748
2,Department of State,African Affairs,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other,Governance,"Conflict, Peace, and Security",Security system management and reform,Peace and Security,Stabilization Operations and Security Sector Reform,Peace Keeping Operations,Department of State,STATE,217607,Bureau of African Affairs - 1.25% AQM Surcharge,U.S. Department of State: Bureau of African Affairs. [Covers services supplied by other U.S. Government agencies not otherwise classified.],101521P198,2021,4407,4407
1,U.S. Agency for International Development,Bureau for Africa,Enterprises,Enterprises - United States,Enterprise - United States Redacted,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,"Agency for International Development, Development Assistance",U.S. Agency for International Development,USAID,170889,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,,2021,4295,4295
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - United States,CARE International,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Economic Development,Financial Sector,Public Law 480 Title II Grants,Department of Agriculture,AGR,212315,Hamzari,"With its Development Food Security Activity targeting 120,000 people, the USAID Implementing Partner aims to build sustainable, equitable, and resilient food and nutrition security for vulnerable groups in Nigers Maradi Region. The Implementing Partner works to address four main drivers of hunger in Maradi: high vulnerability to shocks and extreme poverty; limited accessibility, availability, and utilization of nutritious foods; poor water, sanitation, and hygiene behaviors and inadequate access to water; and lack of livelihoods diversity.",72DFFP18CA00004,2021,3996,3996
2,Department of State,African Affairs,Enterprises,Enterprises - United States,Enterprise - United States Other,Governance,Government and Civil Society,Decentralisation and support to subnational government,"Democracy, Human Rights, and Governance",Good Governance,Economic Support Fund,U.S. Agency for International Development,USAID,233807,Bureau of African Affairs - Support the Implementation of Budget Transparency,"U.S. Department of State: Bureau of African Affairs. Support the Implementation of Budget Transparency in Niger[Covers awards where the principle purpose of the relationship is the transfer of money, property, services, or anything of value to the state, local government, or other recipient to accomplish a public purpose of support or stimulation authorized by the Federal statute.]",SLMAQM19CA2377A,2021,3702,3702
2,Department of State,Diplomatic Security,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other,Governance,Government and Civil Society,Countering violent extremism,Peace and Security,Counter-Terrorism,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Department of State,STATE,276768,Bureau of Diplomatic Security - SURCHARGE: PR10170760,"U.S. Department of State: Bureau of Diplomatic Security. SURCHARGE: PR10170760[Covers the costs for receiving, inspecting, stocking, pulling from stock, delivery, and other related services such as the 1 percent acquisition surcharge for executing grants and contracts above post warrant levels.]",105221H1477,2021,3119,3119
1,U.S. Agency for International Development,Bureau for Africa,Government,Government - United States,U.S. Government - U.S. Agency for International Development,Administrative Costs,Administration and Oversight,Administration and Oversight,Program Support,Direct Administrative Costs,"Agency for International Development, Development Assistance",U.S. Agency for International Development,USAID,170575,USAID Pay and Benefits,Administrative costs and operating expenses of USAID contributing to Payrolls and Benefits.,,2021,2831,2831
2,Department of State,Diplomatic Security,Enterprises,Enterprises - United States,"Lumbee Tribe Enterprises, LLC",Governance,Government and Civil Society,Countering violent extremism,Peace and Security,Counter-Terrorism,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Department of State,STATE,263146,Bureau of Diplomatic Security - Lumbee OTFM2 Task Order,"U.S. Department of State: Bureau of Diplomatic Security. [Covers management and professional support services generally aim at improving the efficiency or effectiveness of management or administrative systems and normally take the form of information, opinion, advice, training or direct assistance. Contracts may be with firms or individuals.]",19AQMM18F4010,2021,2815,2815
1,U.S. Agency for International Development,Bureau for Africa,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,"Agency for International Development, Development Assistance",U.S. Agency for International Development,USAID,169925,"USAID Communications, Utilities, and Rental Payments","Administrative costs and operating expenses of USAID contributing to Communications, Utilities, and Rental Payments.",,2021,2800,2800
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - United States,CARE International,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Humanitarian Assistance,Disaster Readiness,Public Law 480 Title II Grants,Department of Agriculture,AGR,212315,Hamzari,"With its Development Food Security Activity targeting 120,000 people, the USAID Implementing Partner aims to build sustainable, equitable, and resilient food and nutrition security for vulnerable groups in Nigers Maradi Region. The Implementing Partner works to address four main drivers of hunger in Maradi: high vulnerability to shocks and extreme poverty; limited accessibility, availability, and utilization of nutritious foods; poor water, sanitation, and hygiene behaviors and inadequate access to water; and lack of livelihoods diversity.",72DFFP18CA00004,2021,2417,2417
1,U.S. Agency for International Development,Bureau for Africa,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,"Department of State, Global Health Programs",Department of State,STATE,170838,USAID Travel and Transportation,Administrative costs and operating expenses of USAID contributing to Travel and Transportation.,,2021,2400,2400
2,Department of State,Diplomatic Security,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other,Governance,Government and Civil Society,Countering violent extremism,Peace and Security,Counter-Terrorism,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Department of State,STATE,277176,Bureau of Diplomatic Security - SURCHARGE: PR10220893,"U.S. Department of State: Bureau of Diplomatic Security. SURCHARGE: PR10220893[Covers the costs for receiving, inspecting, stocking, pulling from stock, delivery, and other related services such as the 1 percent acquisition surcharge for executing grants and contracts above post warrant levels.]",105221H1881,2021,2265,2265
2,Department of State,International Narcotics and Law Enforcement Affairs,Enterprises,Enterprises - United States,Enterprise - United States Other,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,International Narcotics Control and Law Enforcement,Department of State,STATE,349120,Bureau of International Narcotics and Law Enforcement Affairs - Recurring Obligation for Cell Phone Charges,U.S. Department of State: Bureau of International Narcotics and Law Enforcement Affairs. Recurring Obligation for Cell Phone Charges[Covers the costs for local and long distance calls based on a rate- per- call basis or on the number of minutes of use under the FTS system.],559201007,2021,2250,2250
2,Department of State,International Narcotics and Law Enforcement Affairs,Enterprises,Enterprises - United States,Enterprise - United States Other,Governance,"Conflict, Peace, and Security",Security system management and reform,Peace and Security,Stabilization Operations and Security Sector Reform,International Narcotics Control and Law Enforcement,Department of State,STATE,355770,Bureau of International Narcotics and Law Enforcement Affairs - Training fees for TPC senior corrections advisor,"U.S. Department of State: Bureau of International Narcotics and Law Enforcement Affairs. For his training, 191NLE21F7009: INL/Niger Senior Corrections Advisor (Dobre, Jonathon) - System Mismatches",559005000,2021,2110,2110
2,Department of State,International Narcotics and Law Enforcement Affairs,Enterprises,Enterprises - United States,Enterprise - United States Other,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,International Narcotics Control and Law Enforcement,Department of State,STATE,367017,Bureau of International Narcotics and Law Enforcement Affairs: Information Redacted,"U.S. Department of State; Bureau of International Narcotics and Law Enforcement Affairs: Information Redacted. Information has been redacted in accordance with the two principled exceptions defined in the Foreign Aid Transparency and Accountability Act (FATAA) of 2016: the health and security of implementing partners, and the national interest of the United States.",599201001,2021,2110,2110
2,Department of State,International Narcotics and Law Enforcement Affairs,Enterprises,Enterprises - United States,Enterprise - United States Other,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,International Narcotics Control and Law Enforcement,Department of State,STATE,349280,Bureau of International Narcotics and Law Enforcement Affairs - Recurring obligation for Fuel,"U.S. Department of State: Bureau of International Narcotics and Law Enforcement Affairs. Recurring obligation for Space Heat, Generator, & Oper Fuel[Covers costs of liquid and hard fuels separate from automotive fuels and purchased utilities. These items are for space heating and for operating of equipment and include fuels for generators, self-generated utilities and bottled gas.]",559201009,2021,2000,2000
2,Department of State,Diplomatic Security,Enterprises,Enterprises - United States,IDS International,Governance,Government and Civil Society,Countering violent extremism,Peace and Security,Counter-Terrorism,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Department of State,STATE,259601,Bureau of Diplomatic Security - GATA NIGER DECO OPTION YEAR 1,"U.S. Department of State; Bureau of Diplomatic Security: Information Redacted. Information has been redacted in accordance with the two principled exceptions defined in the Foreign Aid Transparency and Accountability Act (FATAA) of 2016: the health and security of implementing partners, and the national interest of the United States.",SAQMMA13F1014,2021,1764,1764
1,U.S. Agency for International Development,Bureau for Africa,Enterprises,Enterprises - United States,Enterprise - United States Redacted,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,"Agency for International Development, Operating Expenses",U.S. Agency for International Development,USAID,170542,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,,2021,1704,1704
1,U.S. Agency for International Development,Bureau for Africa,Government,Government - United States,U.S. Government - U.S. Agency for International Development,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,"Department of State, Global Health Programs",Department of State,STATE,169415,USAID Advisory and Assistance Services,Administrative costs and operating expenses of USAID contributing to Advisory and Assistance Services.,,2021,1515,1515
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,"Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,170666,USAID Pay and Benefits,Administrative costs and operating expenses of USAID contributing to Payrolls and Benefits.,,2021,1500,1500
2,Department of State,International Narcotics and Law Enforcement Affairs,Enterprises,Enterprises - United States,Enterprise - United States Other,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,International Narcotics Control and Law Enforcement,Department of State,STATE,349157,Bureau of International Narcotics and Law Enforcement Affairs - Recurring Obligation for Electricity,"U.S. Department of State: Bureau of International Narcotics and Law Enforcement Affairs. Recurring obligation for electricity[Covers costs of purchased utilities, i.e., purchase of water, gas, electricity (light and power), sewage, garbage and trash disposal, and metered hot water heating.]",559201005,2021,1385,1385
2,Department of State,Diplomatic Security,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other,Governance,Government and Civil Society,Countering violent extremism,Peace and Security,Counter-Terrorism,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Department of State,STATE,248193,Bureau of Diplomatic Security - ATA NE21PPE01CTPF NIGER PPE HUBZone,"U.S. Department of State; Bureau of Diplomatic Security: Information Redacted. Information has been redacted in accordance with the two principled exceptions defined in the Foreign Aid Transparency and Accountability Act (FATAA) of 2016: the health and security of implementing partners, and the national interest of the United States.",105221H1655,2021,1320,1320
